Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
123,"Πολιτικής Επιστήμης & Δημόσιας Διοίκησης, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,187,14430,1.20,13.55,,
124,"Δημόσιας Διοίκησης, Παντείου",http://www.panteion.gr/,Αθήνα,"I,IV",254,13075,1.20,12.60,,
125,"Πολιτικής Επιστήμης & Ιστορίας, Παντείου",http://www.panteion.gr/,Αθήνα,I,133,12760,1.00,11.29,,
126,"Κοινωνιολογίας, Παντείου",http://www.panteion.gr/,Αθήνα,I,127,13860,0.90,10.16,,
127,"Αγγλικής Γλώσσας & Φιλολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,202,17355,0.90,10.66,0.90,12.63
128,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",162,16250,1.20,12.60,,
129,"Αγγλικής Γλώσσας & Φιλολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,153,18150,1.00,11.84,1.00,14.03
130,"Παιδαγωγικό Δημοτικής Εκπ/σης, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"I,II,III,IV",206,14575,1.00,10.50,,
131,"Γαλλικής Γλώσσας & Φιλολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,105,11680,0.80,09.66,0.70,10.64
132,"Παιδαγωγικό Δημοτικής Εκπ/σης, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,"I,II,III,IV",166,13375,1.00,10.50,,
133,"Γαλλικής Γλώσσας & Φιλολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,72,11715,0.80,09.66,0.70,10.64
134,"Επιστημών Προσχολικής Αγωγής & Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",120,13875,0.80,08.40,,
135,"Γερμανικής Γλώσσας & Φιλολογίας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,I,114,11850,0.80,09.72,0.70,10.90
136,"Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία, Πατρών",http://www.upatras.gr/,Πάτρα,"I,II,III,IV",138,13000,0.90,09.45,,
137,"Γερμανικής Γλώσσας & Φιλολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,99,11030,0.80,09.72,0.70,10.90
138,"Φιλοσοφίας, Κρήτης (Πρώην Φιλοσοφικών & Κοινωνικών Σπουδών)",http://www.uoc.gr/,Ρέθυμνο,I,117,9130,0.80,09.04,,
139,"Ιταλικής Γλώσσας & Φιλολογίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,I,63,12080,0.80,09.75,0.80,12.62
140,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",162,15950,0.80,08.40,,
142,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,"I,II,III,IV",218,13000,0.80,08.40,,
